id,Date,Temp,Month,Year
0,01/01/81,20.7,1,1981
1,02/01/81,17.9,1,1981
2,03/01/81,18.8,1,1981
3,04/01/81,14.6,1,1981
4,05/01/81,15.8,1,1981
5,06/01/81,15.8,1,1981
6,07/01/81,15.8,1,1981
7,08/01/81,17.4,1,1981
8,09/01/81,21.8,1,1981
9,10/01/81,20.0,1,1981
10,11/01/81,16.2,1,1981
11,12/01/81,13.3,1,1981
12,13/01/81,16.7,1,1981
13,14/01/81,21.5,1,1981
14,15/01/81,25.0,1,1981
15,16/01/81,20.7,1,1981
16,17/01/81,20.6,1,1981
17,18/01/81,24.8,1,1981
18,19/01/81,17.7,1,1981
19,20/01/81,15.5,1,1981
20,21/01/81,18.2,1,1981
21,22/01/81,12.1,1,1981
22,23/01/81,14.4,1,1981
23,24/01/81,16.0,1,1981
24,25/01/81,16.5,1,1981
25,26/01/81,18.7,1,1981
26,27/01/81,19.4,1,1981
27,28/01/81,17.2,1,1981
28,29/01/81,15.5,1,1981
29,30/01/81,15.1,1,1981
30,31/01/81,15.4,1,1981
31,01/02/81,15.3,2,1981
32,02/02/81,18.8,2,1981
33,03/02/81,21.9,2,1981
34,04/02/81,19.9,2,1981
35,05/02/81,16.6,2,1981
36,06/02/81,16.8,2,1981
37,07/02/81,14.6,2,1981
38,08/02/81,17.1,2,1981
39,09/02/81,25.0,2,1981
40,10/02/81,15.0,2,1981
41,11/02/81,13.7,2,1981
42,12/02/81,13.9,2,1981
43,13/02/81,18.3,2,1981
44,14/02/81,22.0,2,1981
45,15/02/81,22.1,2,1981
46,16/02/81,21.2,2,1981
47,17/02/81,18.4,2,1981
48,18/02/81,16.6,2,1981
49,19/02/81,16.1,2,1981
50,20/02/81,15.7,2,1981
51,21/02/81,16.6,2,1981
52,22/02/81,16.5,2,1981
53,23/02/81,14.4,2,1981
54,24/02/81,14.4,2,1981
55,25/02/81,18.5,2,1981
56,26/02/81,16.9,2,1981
57,27/02/81,17.5,2,1981
58,28/02/81,21.2,2,1981
59,01/03/81,17.8,3,1981
60,02/03/81,18.6,3,1981
61,03/03/81,17.0,3,1981
62,04/03/81,16.0,3,1981
63,05/03/81,13.3,3,1981
64,06/03/81,14.3,3,1981
65,07/03/81,11.4,3,1981
66,08/03/81,16.3,3,1981
67,09/03/81,16.1,3,1981
68,10/03/81,11.8,3,1981
69,11/03/81,12.2,3,1981
70,12/03/81,14.7,3,1981
71,13/03/81,11.8,3,1981
72,14/03/81,11.3,3,1981
73,15/03/81,10.6,3,1981
74,16/03/81,11.7,3,1981
75,17/03/81,14.2,3,1981
76,18/03/81,11.2,3,1981
77,19/03/81,16.9,3,1981
78,20/03/81,16.7,3,1981
79,21/03/81,8.1,3,1981
80,22/03/81,8.0,3,1981
81,23/03/81,8.8,3,1981
82,24/03/81,13.4,3,1981
83,25/03/81,10.9,3,1981
84,26/03/81,13.4,3,1981
85,27/03/81,11.0,3,1981
86,28/03/81,15.0,3,1981
87,29/03/81,15.7,3,1981
88,30/03/81,14.5,3,1981
89,31/03/81,15.8,3,1981
90,01/04/81,16.7,4,1981
91,02/04/81,16.8,4,1981
92,03/04/81,17.5,4,1981
93,04/04/81,17.1,4,1981
94,05/04/81,18.1,4,1981
95,06/04/81,16.6,4,1981
96,07/04/81,10.0,4,1981
97,08/04/81,14.9,4,1981
98,09/04/81,15.9,4,1981
99,10/04/81,13.0,4,1981
100,11/04/81,7.6,4,1981
101,12/04/81,11.5,4,1981
102,13/04/81,13.5,4,1981
103,14/04/81,13.0,4,1981
104,15/04/81,13.3,4,1981
105,16/04/81,12.1,4,1981
106,17/04/81,12.4,4,1981
107,18/04/81,13.2,4,1981
108,19/04/81,13.8,4,1981
109,20/04/81,10.6,4,1981
110,21/04/81,9.0,4,1981
111,22/04/81,10.0,4,1981
112,23/04/81,9.8,4,1981
113,24/04/81,11.5,4,1981
114,25/04/81,8.9,4,1981
115,26/04/81,7.4,4,1981
116,27/04/81,9.9,4,1981
117,28/04/81,9.3,4,1981
118,29/04/81,9.9,4,1981
119,30/04/81,7.4,4,1981
120,01/05/81,8.6,5,1981
121,02/05/81,11.9,5,1981
122,03/05/81,14.0,5,1981
123,04/05/81,8.6,5,1981
124,05/05/81,10.0,5,1981
125,06/05/81,13.5,5,1981
126,07/05/81,12.0,5,1981
127,08/05/81,10.5,5,1981
128,09/05/81,10.7,5,1981
129,10/05/81,8.1,5,1981
130,11/05/81,10.1,5,1981
131,12/05/81,10.6,5,1981
132,13/05/81,5.3,5,1981
133,14/05/81,6.6,5,1981
134,15/05/81,8.5,5,1981
135,16/05/81,11.2,5,1981
136,17/05/81,9.8,5,1981
137,18/05/81,5.9,5,1981
138,19/05/81,3.2,5,1981
139,20/05/81,2.1,5,1981
140,21/05/81,3.4,5,1981
141,22/05/81,5.4,5,1981
142,23/05/81,9.6,5,1981
143,24/05/81,11.5,5,1981
144,25/05/81,12.3,5,1981
145,26/05/81,12.6,5,1981
146,27/05/81,11.0,5,1981
147,28/05/81,11.2,5,1981
148,29/05/81,11.4,5,1981
149,30/05/81,11.8,5,1981
150,31/05/81,12.8,5,1981
151,01/06/81,11.6,6,1981
152,02/06/81,10.6,6,1981
153,03/06/81,9.8,6,1981
154,04/06/81,11.2,6,1981
155,05/06/81,5.7,6,1981
156,06/06/81,7.1,6,1981
157,07/06/81,2.5,6,1981
158,08/06/81,3.5,6,1981
159,09/06/81,4.6,6,1981
160,10/06/81,11.0,6,1981
161,11/06/81,5.7,6,1981
162,12/06/81,7.7,6,1981
163,13/06/81,10.4,6,1981
164,14/06/81,11.4,6,1981
165,15/06/81,9.2,6,1981
166,16/06/81,6.1,6,1981
167,17/06/81,2.7,6,1981
168,18/06/81,4.3,6,1981
169,19/06/81,6.3,6,1981
170,20/06/81,3.8,6,1981
171,21/06/81,4.4,6,1981
172,22/06/81,7.1,6,1981
173,23/06/81,4.8,6,1981
174,24/06/81,5.8,6,1981
175,25/06/81,6.2,6,1981
176,26/06/81,7.3,6,1981
177,27/06/81,9.2,6,1981
178,28/06/81,10.2,6,1981
179,29/06/81,9.5,6,1981
180,30/06/81,9.5,6,1981
181,01/07/81,10.7,7,1981
182,02/07/81,10.0,7,1981
183,03/07/81,6.5,7,1981
184,04/07/81,7.0,7,1981
185,05/07/81,7.4,7,1981
186,06/07/81,8.1,7,1981
187,07/07/81,6.6,7,1981
188,08/07/81,8.3,7,1981
189,09/07/81,8.9,7,1981
190,10/07/81,4.6,7,1981
191,11/07/81,6.8,7,1981
192,12/07/81,5.7,7,1981
193,13/07/81,6.1,7,1981
194,14/07/81,7.0,7,1981
195,15/07/81,7.2,7,1981
196,16/07/81,6.3,7,1981
197,17/07/81,8.8,7,1981
198,18/07/81,5.0,7,1981
199,19/07/81,7.4,7,1981
200,20/07/81,10.1,7,1981
201,21/07/81,12.0,7,1981
202,22/07/81,9.0,7,1981
203,23/07/81,8.9,7,1981
204,24/07/81,9.8,7,1981
205,25/07/81,9.0,7,1981
206,26/07/81,9.2,7,1981
207,27/07/81,7.7,7,1981
208,28/07/81,8.0,7,1981
209,29/07/81,6.1,7,1981
210,30/07/81,3.5,7,1981
211,31/07/81,3.2,7,1981
212,01/08/81,5.7,8,1981
213,02/08/81,7.7,8,1981
214,03/08/81,9.0,8,1981
215,04/08/81,10.0,8,1981
216,05/08/81,6.2,8,1981
217,06/08/81,6.9,8,1981
218,07/08/81,6.5,8,1981
219,08/08/81,6.8,8,1981
220,09/08/81,7.0,8,1981
221,10/08/81,5.2,8,1981
222,11/08/81,3.0,8,1981
223,12/08/81,5.6,8,1981
224,13/08/81,7.9,8,1981
225,14/08/81,9.0,8,1981
226,15/08/81,8.6,8,1981
227,16/08/81,10.3,8,1981
228,17/08/81,10.5,8,1981
229,18/08/81,7.6,8,1981
230,19/08/81,9.7,8,1981
231,20/08/81,12.5,8,1981
232,21/08/81,7.4,8,1981
233,22/08/81,7.9,8,1981
234,23/08/81,3.9,8,1981
235,24/08/81,6.6,8,1981
236,25/08/81,4.6,8,1981
237,26/08/81,7.0,8,1981
238,27/08/81,6.0,8,1981
239,28/08/81,5.5,8,1981
240,29/08/81,8.1,8,1981
241,30/08/81,5.5,8,1981
242,31/08/81,6.2,8,1981
243,01/09/81,8.0,9,1981
244,02/09/81,10.3,9,1981
245,03/09/81,9.8,9,1981
246,04/09/81,9.6,9,1981
247,05/09/81,8.5,9,1981
248,06/09/81,7.5,9,1981
249,07/09/81,11.2,9,1981
250,08/09/81,14.6,9,1981
251,09/09/81,11.7,9,1981
252,10/09/81,7.8,9,1981
253,11/09/81,12.3,9,1981
254,12/09/81,10.1,9,1981
255,13/09/81,11.5,9,1981
256,14/09/81,7.3,9,1981
257,15/09/81,10.9,9,1981
258,16/09/81,14.1,9,1981
259,17/09/81,10.7,9,1981
260,18/09/81,16.9,9,1981
261,19/09/81,10.5,9,1981
262,20/09/81,6.5,9,1981
263,21/09/81,11.0,9,1981
264,22/09/81,6.3,9,1981
265,23/09/81,10.5,9,1981
266,24/09/81,7.2,9,1981
267,25/09/81,7.6,9,1981
268,26/09/81,10.7,9,1981
269,27/09/81,7.8,9,1981
270,28/09/81,9.6,9,1981
271,29/09/81,11.4,9,1981
272,30/09/81,12.4,9,1981
273,01/10/81,8.9,10,1981
274,02/10/81,13.2,10,1981
275,03/10/81,8.6,10,1981
276,04/10/81,6.2,10,1981
277,05/10/81,11.4,10,1981
278,06/10/81,13.2,10,1981
279,07/10/81,14.3,10,1981
280,08/10/81,7.3,10,1981
281,09/10/81,12.9,10,1981
282,10/10/81,7.8,10,1981
283,11/10/81,6.2,10,1981
284,12/10/81,5.6,10,1981
285,13/10/81,10.0,10,1981
286,14/10/81,13.3,10,1981
287,15/10/81,8.3,10,1981
288,16/10/81,10.2,10,1981
289,17/10/81,8.6,10,1981
290,18/10/81,7.3,10,1981
291,19/10/81,10.4,10,1981
292,20/10/81,11.2,10,1981
293,21/10/81,13.2,10,1981
294,22/10/81,11.4,10,1981
295,23/10/81,9.1,10,1981
296,24/10/81,6.6,10,1981
297,25/10/81,8.4,10,1981
298,26/10/81,9.7,10,1981
299,27/10/81,13.2,10,1981
300,28/10/81,12.5,10,1981
301,29/10/81,11.0,10,1981
302,30/10/81,11.0,10,1981
303,31/10/81,11.7,10,1981
304,01/11/81,9.2,11,1981
305,02/11/81,11.5,11,1981
306,03/11/81,13.6,11,1981
307,04/11/81,13.7,11,1981
308,05/11/81,10.4,11,1981
309,06/11/81,11.5,11,1981
310,07/11/81,7.6,11,1981
311,08/11/81,9.6,11,1981
312,09/11/81,14.2,11,1981
313,10/11/81,15.7,11,1981
314,11/11/81,10.5,11,1981
315,12/11/81,10.5,11,1981
316,13/11/81,9.7,11,1981
317,14/11/81,9.5,11,1981
318,15/11/81,11.3,11,1981
319,16/11/81,8.9,11,1981
320,17/11/81,9.4,11,1981
321,18/11/81,11.9,11,1981
322,19/11/81,11.7,11,1981
323,20/11/81,13.4,11,1981
324,21/11/81,12.6,11,1981
325,22/11/81,10.1,11,1981
326,23/11/81,15.8,11,1981
327,24/11/81,13.6,11,1981
328,25/11/81,11.9,11,1981
329,26/11/81,9.9,11,1981
330,27/11/81,12.6,11,1981
331,28/11/81,17.8,11,1981
332,29/11/81,15.0,11,1981
333,30/11/81,13.6,11,1981
334,01/12/81,13.4,12,1981
335,02/12/81,10.5,12,1981
336,03/12/81,14.2,12,1981
337,04/12/81,11.5,12,1981
338,05/12/81,13.0,12,1981
339,06/12/81,15.0,12,1981
340,07/12/81,14.7,12,1981
341,08/12/81,12.6,12,1981
342,09/12/81,12.5,12,1981
343,10/12/81,13.5,12,1981
344,11/12/81,14.8,12,1981
345,12/12/81,17.2,12,1981
346,13/12/81,9.7,12,1981
347,14/12/81,12.1,12,1981
348,15/12/81,12.8,12,1981
349,16/12/81,11.2,12,1981
350,17/12/81,16.4,12,1981
351,18/12/81,15.6,12,1981
352,19/12/81,13.3,12,1981
353,20/12/81,11.0,12,1981
354,21/12/81,11.1,12,1981
355,22/12/81,15.0,12,1981
356,23/12/81,12.8,12,1981
357,24/12/81,15.0,12,1981
358,25/12/81,14.2,12,1981
359,26/12/81,14.0,12,1981
360,27/12/81,15.5,12,1981
361,28/12/81,13.3,12,1981
362,29/12/81,15.6,12,1981
363,30/12/81,15.2,12,1981
364,31/12/81,17.4,12,1981
365,01/01/82,17.0,1,1982
366,02/01/82,15.0,1,1982
367,03/01/82,13.5,1,1982
368,04/01/82,15.2,1,1982
369,05/01/82,13.0,1,1982
370,06/01/82,12.5,1,1982
371,07/01/82,14.1,1,1982
372,08/01/82,14.8,1,1982
373,09/01/82,16.2,1,1982
374,10/01/82,15.8,1,1982
375,11/01/82,19.1,1,1982
376,12/01/82,22.2,1,1982
377,13/01/82,15.9,1,1982
378,14/01/82,13.0,1,1982
379,15/01/82,14.1,1,1982
380,16/01/82,15.8,1,1982
381,17/01/82,24.0,1,1982
382,18/01/82,18.0,1,1982
383,19/01/82,19.7,1,1982
384,20/01/82,25.2,1,1982
385,21/01/82,20.5,1,1982
386,22/01/82,19.3,1,1982
387,23/01/82,15.8,1,1982
388,24/01/82,17.0,1,1982
389,25/01/82,18.4,1,1982
390,26/01/82,13.3,1,1982
391,27/01/82,14.6,1,1982
392,28/01/82,12.5,1,1982
393,29/01/82,17.0,1,1982
394,30/01/82,17.1,1,1982
395,31/01/82,14.0,1,1982
396,01/02/82,14.6,2,1982
397,02/02/82,13.3,2,1982
398,03/02/82,14.8,2,1982
399,04/02/82,15.1,2,1982
400,05/02/82,13.1,2,1982
401,06/02/82,13.6,2,1982
402,07/02/82,19.5,2,1982
403,08/02/82,22.7,2,1982
404,09/02/82,17.2,2,1982
405,10/02/82,13.5,2,1982
406,11/02/82,15.4,2,1982
407,12/02/82,17.0,2,1982
408,13/02/82,19.2,2,1982
409,14/02/82,22.8,2,1982
410,15/02/82,26.3,2,1982
411,16/02/82,18.2,2,1982
412,17/02/82,17.0,2,1982
413,18/02/82,14.8,2,1982
414,19/02/82,12.8,2,1982
415,20/02/82,15.5,2,1982
416,21/02/82,15.6,2,1982
417,22/02/82,13.1,2,1982
418,23/02/82,15.2,2,1982
419,24/02/82,14.1,2,1982
420,25/02/82,12.5,2,1982
421,26/02/82,14.6,2,1982
422,27/02/82,10.4,2,1982
423,28/02/82,13.9,2,1982
424,01/03/82,11.9,3,1982
425,02/03/82,13.5,3,1982
426,03/03/82,9.8,3,1982
427,04/03/82,14.0,3,1982
428,05/03/82,21.5,3,1982
429,06/03/82,19.5,3,1982
430,07/03/82,16.7,3,1982
431,08/03/82,19.1,3,1982
432,09/03/82,11.0,3,1982
433,10/03/82,9.0,3,1982
434,11/03/82,10.0,3,1982
435,12/03/82,14.6,3,1982
436,13/03/82,12.5,3,1982
437,14/03/82,17.2,3,1982
438,15/03/82,19.2,3,1982
439,16/03/82,22.2,3,1982
440,17/03/82,15.7,3,1982
441,18/03/82,14.2,3,1982
442,19/03/82,9.8,3,1982
443,20/03/82,14.0,3,1982
444,21/03/82,17.5,3,1982
445,22/03/82,20.7,3,1982
446,23/03/82,15.6,3,1982
447,24/03/82,13.2,3,1982
448,25/03/82,14.5,3,1982
449,26/03/82,16.8,3,1982
450,27/03/82,17.2,3,1982
451,28/03/82,13.4,3,1982
452,29/03/82,14.2,3,1982
453,30/03/82,14.3,3,1982
454,31/03/82,10.2,3,1982
455,01/04/82,10.4,4,1982
456,02/04/82,12.3,4,1982
457,03/04/82,11.9,4,1982
458,04/04/82,11.2,4,1982
459,05/04/82,8.5,4,1982
460,06/04/82,12.0,4,1982
461,07/04/82,12.4,4,1982
462,08/04/82,12.9,4,1982
463,09/04/82,10.1,4,1982
464,10/04/82,15.0,4,1982
465,11/04/82,13.6,4,1982
466,12/04/82,12.4,4,1982
467,13/04/82,13.6,4,1982
468,14/04/82,16.1,4,1982
469,15/04/82,19.5,4,1982
470,16/04/82,14.2,4,1982
471,17/04/82,9.3,4,1982
472,18/04/82,10.1,4,1982
473,19/04/82,7.4,4,1982
474,20/04/82,8.6,4,1982
475,21/04/82,7.8,4,1982
476,22/04/82,9.1,4,1982
477,23/04/82,13.0,4,1982
478,24/04/82,16.5,4,1982
479,25/04/82,12.9,4,1982
480,26/04/82,6.9,4,1982
481,27/04/82,6.9,4,1982
482,28/04/82,8.7,4,1982
483,29/04/82,10.0,4,1982
484,30/04/82,10.8,4,1982
485,01/05/82,7.5,5,1982
486,02/05/82,6.3,5,1982
487,03/05/82,11.9,5,1982
488,04/05/82,13.8,5,1982
489,05/05/82,11.8,5,1982
490,06/05/82,11.0,5,1982
491,07/05/82,10.1,5,1982
492,08/05/82,8.5,5,1982
493,09/05/82,5.5,5,1982
494,10/05/82,7.6,5,1982
495,11/05/82,8.7,5,1982
496,12/05/82,10.8,5,1982
497,13/05/82,11.2,5,1982
498,14/05/82,9.1,5,1982
499,15/05/82,3.7,5,1982
500,16/05/82,4.6,5,1982
501,17/05/82,6.6,5,1982
502,18/05/82,13.2,5,1982
503,19/05/82,15.2,5,1982
504,20/05/82,7.6,5,1982
505,21/05/82,8.4,5,1982
506,22/05/82,6.0,5,1982
507,23/05/82,8.3,5,1982
508,24/05/82,8.6,5,1982
509,25/05/82,11.1,5,1982
510,26/05/82,12.1,5,1982
511,27/05/82,12.9,5,1982
512,28/05/82,14.0,5,1982
513,29/05/82,12.5,5,1982
514,30/05/82,11.5,5,1982
515,31/05/82,7.0,5,1982
516,01/06/82,7.1,6,1982
517,02/06/82,9.0,6,1982
518,03/06/82,3.1,6,1982
519,04/06/82,2.5,6,1982
520,05/06/82,0.0,6,1982
521,06/06/82,1.6,6,1982
522,07/06/82,2.6,6,1982
523,08/06/82,5.7,6,1982
524,09/06/82,2.3,6,1982
525,10/06/82,4.5,6,1982
526,11/06/82,8.2,6,1982
527,12/06/82,6.9,6,1982
528,13/06/82,7.3,6,1982
529,14/06/82,6.0,6,1982
530,15/06/82,7.3,6,1982
531,16/06/82,7.6,6,1982
532,17/06/82,8.0,6,1982
533,18/06/82,8.0,6,1982
534,19/06/82,6.8,6,1982
535,20/06/82,7.3,6,1982
536,21/06/82,6.2,6,1982
537,22/06/82,6.9,6,1982
538,23/06/82,8.9,6,1982
539,24/06/82,4.0,6,1982
540,25/06/82,1.3,6,1982
541,26/06/82,0.8,6,1982
542,27/06/82,4.3,6,1982
543,28/06/82,7.3,6,1982
544,29/06/82,7.7,6,1982
545,30/06/82,9.0,6,1982
546,01/07/82,4.2,7,1982
547,02/07/82,1.6,7,1982
548,03/07/82,2.6,7,1982
549,04/07/82,3.4,7,1982
550,05/07/82,3.9,7,1982
551,06/07/82,7.0,7,1982
552,07/07/82,7.8,7,1982
553,08/07/82,5.3,7,1982
554,09/07/82,2.4,7,1982
555,10/07/82,2.8,7,1982
556,11/07/82,4.0,7,1982
557,12/07/82,7.5,7,1982
558,13/07/82,7.8,7,1982
559,14/07/82,5.6,7,1982
560,15/07/82,3.3,7,1982
561,16/07/82,5.0,7,1982
562,17/07/82,3.7,7,1982
563,18/07/82,3.9,7,1982
564,19/07/82,5.2,7,1982
565,20/07/82,0.2,7,1982
566,21/07/82,0.8,7,1982
567,22/07/82,0.9,7,1982
568,23/07/82,3.5,7,1982
569,24/07/82,6.6,7,1982
570,25/07/82,9.5,7,1982
571,26/07/82,9.0,7,1982
572,27/07/82,3.5,7,1982
573,28/07/82,4.5,7,1982
574,29/07/82,5.7,7,1982
575,30/07/82,5.6,7,1982
576,31/07/82,7.1,7,1982
577,01/08/82,9.7,8,1982
578,02/08/82,8.3,8,1982
579,03/08/82,9.1,8,1982
580,04/08/82,2.8,8,1982
581,05/08/82,2.2,8,1982
582,06/08/82,4.5,8,1982
583,07/08/82,3.8,8,1982
584,08/08/82,3.8,8,1982
585,09/08/82,6.2,8,1982
586,10/08/82,11.5,8,1982
587,11/08/82,10.2,8,1982
588,12/08/82,7.9,8,1982
589,13/08/82,9.0,8,1982
590,14/08/82,9.5,8,1982
591,15/08/82,6.0,8,1982
592,16/08/82,8.2,8,1982
593,17/08/82,9.2,8,1982
594,18/08/82,4.3,8,1982
595,19/08/82,6.6,8,1982
596,20/08/82,9.4,8,1982
597,21/08/82,13.2,8,1982
598,22/08/82,6.6,8,1982
599,23/08/82,5.1,8,1982
600,24/08/82,12.1,8,1982
601,25/08/82,11.2,8,1982
602,26/08/82,8.5,8,1982
603,27/08/82,4.6,8,1982
604,28/08/82,7.0,8,1982
605,29/08/82,14.2,8,1982
606,30/08/82,12.7,8,1982
607,31/08/82,7.6,8,1982
608,01/09/82,4.0,9,1982
609,02/09/82,10.0,9,1982
610,03/09/82,10.5,9,1982
611,04/09/82,5.0,9,1982
612,05/09/82,4.5,9,1982
613,06/09/82,8.2,9,1982
614,07/09/82,4.3,9,1982
615,08/09/82,9.8,9,1982
616,09/09/82,5.8,9,1982
617,10/09/82,5.0,9,1982
618,11/09/82,8.5,9,1982
619,12/09/82,9.0,9,1982
620,13/09/82,3.6,9,1982
621,14/09/82,6.7,9,1982
622,15/09/82,6.7,9,1982
623,16/09/82,10.1,9,1982
624,17/09/82,15.0,9,1982
625,18/09/82,8.9,9,1982
626,19/09/82,5.7,9,1982
627,20/09/82,4.2,9,1982
628,21/09/82,4.0,9,1982
629,22/09/82,5.3,9,1982
630,23/09/82,6.3,9,1982
631,24/09/82,8.5,9,1982
632,25/09/82,11.5,9,1982
633,26/09/82,7.7,9,1982
634,27/09/82,9.2,9,1982
635,28/09/82,7.8,9,1982
636,29/09/82,6.3,9,1982
637,30/09/82,6.3,9,1982
638,01/10/82,8.6,10,1982
639,02/10/82,6.1,10,1982
640,03/10/82,13.2,10,1982
641,04/10/82,9.9,10,1982
642,05/10/82,4.7,10,1982
643,06/10/82,5.8,10,1982
644,07/10/82,14.9,10,1982
645,08/10/82,10.7,10,1982
646,09/10/82,8.6,10,1982
647,10/10/82,9.4,10,1982
648,11/10/82,5.7,10,1982
649,12/10/82,10.9,10,1982
650,13/10/82,13.1,10,1982
651,14/10/82,10.4,10,1982
652,15/10/82,8.2,10,1982
653,16/10/82,9.8,10,1982
654,17/10/82,7.5,10,1982
655,18/10/82,5.8,10,1982
656,19/10/82,9.8,10,1982
657,20/10/82,7.9,10,1982
658,21/10/82,8.7,10,1982
659,22/10/82,10.0,10,1982
660,23/10/82,10.6,10,1982
661,24/10/82,8.0,10,1982
662,25/10/82,10.2,10,1982
663,26/10/82,15.1,10,1982
664,27/10/82,13.9,10,1982
665,28/10/82,9.2,10,1982
666,29/10/82,9.0,10,1982
667,30/10/82,13.2,10,1982
668,31/10/82,7.0,10,1982
669,01/11/82,10.6,11,1982
670,02/11/82,6.9,11,1982
671,03/11/82,9.5,11,1982
672,04/11/82,12.5,11,1982
673,05/11/82,13.6,11,1982
674,06/11/82,17.7,11,1982
675,07/11/82,16.0,11,1982
676,08/11/82,11.3,11,1982
677,09/11/82,10.5,11,1982
678,10/11/82,14.4,11,1982
679,11/11/82,10.3,11,1982
680,12/11/82,9.0,11,1982
681,13/11/82,11.1,11,1982
682,14/11/82,14.5,11,1982
683,15/11/82,18.0,11,1982
684,16/11/82,12.8,11,1982
685,17/11/82,10.7,11,1982
686,18/11/82,9.1,11,1982
687,19/11/82,8.7,11,1982
688,20/11/82,12.4,11,1982
689,21/11/82,12.6,11,1982
690,22/11/82,10.3,11,1982
691,23/11/82,13.7,11,1982
692,24/11/82,16.0,11,1982
693,25/11/82,15.8,11,1982
694,26/11/82,12.1,11,1982
695,27/11/82,12.5,11,1982
696,28/11/82,12.2,11,1982
697,29/11/82,13.7,11,1982
698,30/11/82,16.1,11,1982
699,01/12/82,15.5,12,1982
700,02/12/82,10.3,12,1982
701,03/12/82,10.5,12,1982
702,04/12/82,11.0,12,1982
703,05/12/82,11.9,12,1982
704,06/12/82,13.0,12,1982
705,07/12/82,12.2,12,1982
706,08/12/82,10.6,12,1982
707,09/12/82,13.0,12,1982
708,10/12/82,13.0,12,1982
709,11/12/82,12.2,12,1982
710,12/12/82,12.6,12,1982
711,13/12/82,18.7,12,1982
712,14/12/82,15.2,12,1982
713,15/12/82,15.3,12,1982
714,16/12/82,13.9,12,1982
715,17/12/82,15.8,12,1982
716,18/12/82,13.0,12,1982
717,19/12/82,13.0,12,1982
718,20/12/82,13.7,12,1982
719,21/12/82,12.0,12,1982
720,22/12/82,10.8,12,1982
721,23/12/82,15.6,12,1982
722,24/12/82,15.3,12,1982
723,25/12/82,13.9,12,1982
724,26/12/82,13.0,12,1982
725,27/12/82,15.3,12,1982
726,28/12/82,16.3,12,1982
727,29/12/82,15.8,12,1982
728,30/12/82,17.7,12,1982
729,31/12/82,16.3,12,1982
730,01/01/83,18.4,1,1983
731,02/01/83,15.0,1,1983
732,03/01/83,10.9,1,1983
733,04/01/83,11.4,1,1983
734,05/01/83,14.8,1,1983
735,06/01/83,12.1,1,1983
736,07/01/83,12.8,1,1983
737,08/01/83,16.2,1,1983
738,09/01/83,15.5,1,1983
739,10/01/83,13.0,1,1983
740,11/01/83,10.5,1,1983
741,12/01/83,9.1,1,1983
742,13/01/83,10.5,1,1983
743,14/01/83,11.8,1,1983
744,15/01/83,12.7,1,1983
745,16/01/83,12.7,1,1983
746,17/01/83,11.5,1,1983
747,18/01/83,13.8,1,1983
748,19/01/83,13.3,1,1983
749,20/01/83,11.6,1,1983
750,21/01/83,15.4,1,1983
751,22/01/83,12.4,1,1983
752,23/01/83,16.9,1,1983
753,24/01/83,14.7,1,1983
